Image Number,y-Displacement[m],x-Crack Tip Length[m],x-Edge Length [m],x-Crack Length [m]
20,-3.462E-2,8.910E-3,5.724E-2,0.04833
25,-3.495E-2,8.883E-3,5.726E-2,0.048377
30,-3.530E-2,8.854E-3,5.718E-2,0.048326
35,-3.562E-2,8.676E-3,5.717E-2,0.048494
40,-3.597E-2,8.526E-3,5.708E-2,0.048554
45,-3.631E-2,8.437E-3,5.710E-2,0.048663
50,-3.665E-2,8.348E-3,5.709E-2,0.048742
55,-3.700E-2,8.621E-3,5.706E-2,0.048439
60,-3.736E-2,9.407E-3,5.700E-2,0.047593
65,-3.772E-2,9.408E-3,5.701E-2,0.047602
70,-3.808E-2,9.682E-3,5.700E-2,0.047318
75,-3.843E-2,9.834E-3,5.698E-2,0.047146
80,-3.881E-2,1.005E-2,5.692E-2,0.04687
85,-3.916E-2,1.032E-2,5.689E-2,0.04657
90,-3.952E-2,1.053E-2,5.687E-2,0.04634
95,-3.987E-2,1.084E-2,5.684E-2,0.046
100,-4.020E-2,1.102E-2,5.682E-2,0.0458
105,-4.056E-2,1.138E-2,5.678E-2,0.0454
110,-4.092E-2,1.156E-2,5.675E-2,0.04519
115,-4.127E-2,1.193E-2,5.676E-2,0.04483
120,-4.163E-2,1.205E-2,5.672E-2,0.04467
125,-4.199E-2,1.250E-2,5.670E-2,0.0442
130,-4.234E-2,1.278E-2,5.667E-2,0.04389
135,-4.271E-2,1.308E-2,5.666E-2,0.04358
140,-4.306E-2,1.341E-2,5.659E-2,0.04318
145,-4.341E-2,1.372E-2,5.658E-2,0.04286
150,-4.376E-2,1.399E-2,5.655E-2,0.04256
155,-4.412E-2,1.429E-2,5.652E-2,0.04223
160,-4.448E-2,1.450E-2,5.647E-2,0.04197
165,-4.483E-2,1.484E-2,5.643E-2,0.04159
170,-4.518E-2,1.517E-2,5.639E-2,0.04122
175,-4.553E-2,1.556E-2,5.640E-2,0.04084
180,-4.589E-2,1.587E-2,5.635E-2,0.04048
185,-4.624E-2,1.620E-2,5.635E-2,0.04015
190,-4.659E-2,1.647E-2,5.633E-2,0.03986
195,-4.695E-2,1.687E-2,5.632E-2,0.03945
200,-4.731E-2,1.717E-2,5.617E-2,0.039
205,-4.767E-2,1.744E-2,5.617E-2,0.03873
210,-4.803E-2,1.777E-2,5.613E-2,0.03836
215,-4.839E-2,1.823E-2,5.613E-2,0.0379
220,-4.874E-2,1.859E-2,5.609E-2,0.0375
225,-4.911E-2,1.878E-2,5.606E-2,0.03728
230,-4.946E-2,1.899E-2,5.601E-2,0.03702
235,-4.981E-2,1.929E-2,5.597E-2,0.03668
240,-5.017E-2,1.968E-2,5.588E-2,0.0362
245,-5.052E-2,1.999E-2,5.586E-2,0.03587
250,-5.087E-2,2.016E-2,5.584E-2,0.03568
255,-5.123E-2,2.043E-2,5.580E-2,0.03537
260,-5.158E-2,2.077E-2,5.576E-2,0.03499
265,-5.193E-2,2.111E-2,5.567E-2,0.03456
270,-5.229E-2,2.119E-2,5.561E-2,0.03442
275,-5.263E-2,2.169E-2,5.555E-2,0.03386
280,-5.299E-2,2.203E-2,5.554E-2,0.03351
285,-5.335E-2,2.226E-2,5.548E-2,0.03322
290,-5.371E-2,2.257E-2,5.542E-2,0.03285
295,-5.408E-2,2.287E-2,5.541E-2,0.03254
300,-5.443E-2,2.287E-2,5.536E-2,0.03249
305,-5.479E-2,2.326E-2,5.531E-2,0.03205
310,-5.515E-2,2.352E-2,5.522E-2,0.0317
315,-5.550E-2,2.402E-2,5.514E-2,0.03112
320,-5.586E-2,2.425E-2,5.507E-2,0.03082
325,-5.620E-2,2.461E-2,5.501E-2,0.0304
330,-5.655E-2,2.494E-2,5.495E-2,0.03001
335,-5.690E-2,2.511E-2,5.490E-2,0.02979
340,-5.726E-2,2.547E-2,5.485E-2,0.02938
345,-5.762E-2,2.579E-2,5.478E-2,0.02899
350,-5.798E-2,2.607E-2,5.474E-2,0.02867
355,-5.834E-2,2.618E-2,5.467E-2,0.02849
360,-5.869E-2,2.659E-2,5.458E-2,0.02799
365,-5.905E-2,2.695E-2,5.453E-2,0.02758
370,-5.941E-2,2.701E-2,5.450E-2,0.02749
375,-5.978E-2,2.729E-2,5.439E-2,0.0271
380,-6.014E-2,2.762E-2,5.436E-2,0.02674
385,-6.048E-2,2.794E-2,5.426E-2,0.02632
390,-6.083E-2,2.824E-2,5.418E-2,0.02594
395,-6.118E-2,2.832E-2,5.407E-2,0.02575
400,-6.154E-2,2.854E-2,5.400E-2,0.02546
405,-6.189E-2,2.880E-2,5.389E-2,0.02509
410,-6.225E-2,2.918E-2,5.383E-2,0.02465
415,-6.260E-2,2.933E-2,5.372E-2,0.02439
420,-6.294E-2,2.961E-2,5.366E-2,0.02405
425,-6.330E-2,2.985E-2,5.355E-2,0.0237
430,-6.366E-2,3.004E-2,5.348E-2,0.02344
435,-6.402E-2,3.036E-2,5.340E-2,0.02304
440,-6.438E-2,3.060E-2,5.334E-2,0.02274
445,-6.473E-2,3.090E-2,5.324E-2,0.02234
450,-6.509E-2,3.111E-2,5.312E-2,0.02201